PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,bIsWeighted,UnitOfMeasure,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
"2017-02-07 07:31","7290107943840","1","דנונה בר קורנפלקס 175 גר","שטראוס","IL","דנונה בר","גרמים","175.00","0","100 גרם","1","4.70","2.69","1","1"
"2017-02-07 07:31","7290107944472","1","סימפוניה שום שמיר5% 200ג","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 07:31","7290107950411","1","סימפוניה פפריקה 5% 200גר","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 07:31","7290107950497","1","סימפוניה שמנת25%זיתים200","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 07:31","7290107950503","1","סימפוניה גב.שמנת25% 200ג","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 07:31","7290107950510","1","סימפוניה זיתים 9% 200גרם","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 07:31","7290107950527","1","סימפוניה9% קרם שמנת 200ג","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 07:31","7290107950596","1","סימפונ.פלפל4 עונות5% 200","שטראוס","IL","גבינת סימפוניה","גרמים","200.00","0","100 גרם","1","10.00","5.00","1","1"
"2017-02-07 08:11","7290107970266","1","פירורי לחם גריסיני300גרם","אפיפית","IL","פירורי לחם גריסי","גרמים","300.00","0","100 גרם","1","8.90","2.97","1","1"
"2017-02-07 08:11","7290107970310","1","תערובת ללחם שיפון 1 ק""ג","פלאקטורפר מולה","DE","תערובת ללחם שיפו","קילוגרמים","1.00","0","ק""ג","1","11.90","11.90","1","1"
"2017-02-07 08:11","7290107974004","1","קוסקוס דורום דק 500גרם","אגרופוד לייבל","MA","קוסקוס דורום דק","גרמים","500.00","0","100 גרם","1","6.90","1.38","1","1"
"2017-02-07 08:11","7290107974011","1","קוסקוס דורום בינוני500ג","אגרופוד לייבל","MA","קוסקוס דורום","גרמים","500.00","0","100 גרם","1","6.90","1.38","1","1"
"2017-02-07 08:11","7290107974578","1","מיני פריכיות אורז שוק60ג","מנה","IL","מיני פריכיות","גרמים","60.00","0","100 גרם","1","6.90","11.50","1","1"
"2017-02-07 08:11","7290107974820","1","ממרח מתובל ספייסי 250גרם","רמיה סי.וי.הולנד","NL","ממרח מתובל ספייס","גרמים","250.00","0","100 גרם","1","6.90","2.76","1","1"
"2017-02-07 07:32","7290108200225","1","גולד אבקה להסרת כתמים470","רקיט בנקיזר","IT","וניש גולד אבקה","גרמים","470.00","0","100 גרם","1","15.00","3.19","1","1"
"2017-02-07 07:32","7290108200232","1","גולד אבקה לכב.לבנה 470 ג","רקיט בנקיזר","IT","וניש גולד אבקה","גרמים","470.00","0","100 גרם","1","15.00","3.19","1","1"
"2017-02-07 08:11","7290109351520","1","חט.קריספי עגב.בזיליק150ג","אסם","IL","חטיפי קריספי","גרמים","150.00","0","100 גרם","1","10.90","7.27","1","1"
"2017-02-07 08:11","7290109353340","1","פירורית זהב 220*3 גרם","עינת תעשיות","IL","פירורית זהב 3 יח","גרמים","660.00","0","100 גרם","1","13.50","2.05","1","1"
"2017-02-07 07:32","7296073002567","1","10שקיות אשפה+שרוך שופרסל","שופרסל","TR","שקיות אשפה","יחידה","1.00","0","יחידה","0","13.60","13.60","1","1"
"2017-02-07 07:32","7296073002574","1","50 שקיות אשפה ענק.שופרסל","שופרסל","HK","שקיות אשפה","יחידה","1.00","0","יחידה","0","14.80","14.80","1","1"
"2017-02-07 08:11","7296073005858","1","בורגול שופרסל 500 גרם","מיה","IL","בורגול","גרמים","500.00","0","100 גרם","0","5.60","1.12","1","1"
"2017-02-07 08:11","7296073005926","1","עדשים אדומות שופרסל500גר","מיה","IL","עדשים אדומות","גרמים","500.00","0","100 גרם","0","6.50","1.30","1","1"
"2017-02-07 08:11","7296073006176","1","סוכר שופרסל 1 ק""ג","סוגת","IL","סוכר לבן","קילוגרמים","1.00","0","ק""ג","0","4.80","4.80","1","1"
"2017-02-07 08:11","7296073006640","1","מלפפ.כבישה בית.שופר1.65ק","שופרסל","IL","מלפפון כבוש ביתי","קילוגרמים","1.65","0","ק""ג","0","27.90","16.91","1","1"
"2017-02-07 07:22","7296073020370","1","צלחות גדולות שופרסל 100","שופרסל","IL","צלחות ח""פ גדולות","יחידה","1.00","0","יחידה","0","16.90","16.90","1","1"
"2017-02-07 08:11","7296073021582","1","סולת חיטה שופרסל 1 ק""ג","שופרסל","IL","סולת חיטה","קילוגרמים","1.00","0","ק""ג","0","4.20","4.20","1","1"
"2017-02-07 07:31","7296073048992","1","פסטרמה בדבש שופרסל 300גר","מעדני יחיעם","IL","פסטרמה בדבש","גרמים","300.00","0","100 גרם","0","22.90","7.63","1","1"
"2017-02-07 07:31","7296073049050","1","פסטרמה רומנית שופרסל300ג","שופרסל","IL","פסטרמה רומנית","גרמים","300.00","0","100 גרם","0","28.90","9.63","1","1"
"2017-02-07 07:31","7296073049074","1","סלמי קוניאק שופרסל 300גר","שופרסל","IL","סלמי קוניאק","גרמים","300.00","0","100 גרם","0","23.60","7.87","1","1"
"2017-02-07 08:11","7296073053767","1","דפי לזניה שופרסל 500 גרם","שופרסל","IT","דפי לזניה","גרמים","500.00","0","100 גרם","0","13.90","2.78","1","1"
"2017-02-07 08:11","7296073058984","1","גרנולה קראנץ פירות+אג400","שופרסל","DE","גרנולה קראנץ","גרמים","400.00","0","100 גרם","0","16.90","4.23","1","1"
"2017-02-07 08:11","7296073058991","1","מוזלי שופרסל 500 גרם","שופרסל","IL","מוזלי שופרסל","גרמים","500.00","0","100 גרם","0","16.90","3.38","1","1"
"2017-02-07 08:11","7296073078579","1","דבש טבעי שופרסל 350 גרם","שופרסל","IL","דבש טבעי","גרמים","350.00","0","100 גרם","0","18.90","5.40","1","1"
"2017-02-07 08:11","7296073078586","1","דבש טבעי שופרסל צנצ500גר","שופרסל","IL","דבש טבעי שופרסל","גרמים","500.00","0","100 גרם","0","26.90","5.38","1","1"
"2017-02-07 07:32","7296073078838","1","6 כריות יפניות שופרסל","פלסטו פוליש","IL","כריות יפניות","יחידה","1.00","0","יחידה","0","9.70","9.70","1","1"
"2017-02-07 07:32","7296073078883","1","9 מטליות ניקוי כללי שופר","שופרסל","IL","מטליות ניקוי 9יח","יחידה","1.00","0","יחידה","0","9.50","9.50","1","1"
"2017-02-07 08:11","7296073079040","1","פריכיות זעתר שופרסל 50גר","שופרסל","IL","פריכיות אורז","גרמים","50.00","0","100 גרם","0","8.50","17.00","1","1"
"2017-02-07 08:11","7296073079057","1","פריכיות מעושן שופרסל50גר","שופרסל","IL","פריכיות שופרסל","גרמים","50.00","0","100 גרם","0","8.50","17.00","1","1"
"2017-02-07 07:32","7296073079354","1","72 מגבונים שופרסל רפיל","שופרסל","IL","מגבונים שופרסל","יחידה","1.00","0","יחידה","0","7.10","7.10","1","1"
"2017-02-07 07:32","7296073079361","1","מגבונים לחים שופר72*6יח","שופרסל","IL","מגבונים לחים 6יח","יחידה","1.00","0","יחידה","0","24.90","24.90","1","1"
"2017-02-07 07:32","7296073081685","1","מזון יבש לחתול שופר1.5.ק","Tuffy's","US","מזון לחתולים","קילוגרמים","1.50","0","ק""ג","0","30.80","20.53","1","1"
"2017-02-07 08:11","7296073087250","1","קונפ.אוכמניות שופרסל370ג","LTD 99 CIMA","BG","קונפ.אוכמניות","גרמים","370.00","0","100 גרם","0","13.50","3.65","1","1"
"2017-02-07 08:11","7296073087274","1","קונפ.שזיפים שופרסל 370גר","LTD 99 CIMA","BG","קונפיט.שזיפים","גרמים","370.00","0","100 גרם","0","13.50","3.65","1","1"
"2017-02-07 08:11","7296073087281","1","קונפ.תות שדה שופרסל 370ג","LTD 99 CIMA","BG","קונפיטורת תות","גרמים","370.00","0","100 גרם","0","13.50","3.65","1","1"
"2017-02-07 08:11","7296073087298","1","קונפ.מישמש שופרסל 370 גר","LTD 99 CIMA","BG","קונפיטורה מישמש","גרמים","370.00","0","100 גרם","0","13.50","3.65","1","1"
"2017-02-07 08:11","7296073094753","1","חלווה וניל שופרסל 500 גר","אחדות בע""מ א.ת. ברקן","IL","חלווה וניל","גרמים","500.00","0","100 גרם","0","13.90","2.78","1","1"
"2017-02-07 13:31","7296073098263","1","גזר גמדי מוקפא שופרסל800","פרי גליל","IL","גזר גמדי 800גר","גרמים","800.00","0","100 גרם","0","16.90","2.11","1","1"
"2017-02-07 08:11","7296073106074","1","טליאטלה שופרסל 500 גרם","שופרסל","IT","פסטה טליאטלה","גרמים","500.00","0","100 גרם","0","10.90","2.18","1","1"
"2017-02-07 08:11","7296073107392","1","גרנולה צימוק שקד תפוח400","שופרסל","DE","גרנולה שופרסל","גרמים","400.00","0","100 גרם","0","16.90","4.23","1","1"
