PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,bIsWeighted,UnitOfMeasure,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
"2017-02-07 06:55","11210000094","1","רוטב טבסקו 60 מ""ל","ניצן","US","רוטב טבסקו","מיליליטרים","60.00","0","100 מ""ל","0","12.80","21.33","1","1"
"2017-02-07 06:55","16000423534","1","קראנצי שיבולת ושוקולד5יח","ג'נרל מילס","US","חטיף נייצ'ר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 06:55","16000548404","1","חטיף נייטשר ואלי ש.שועל5","ג'נרל מילס","US","חטיף נייטשר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 06:55","16000548503","1","נייטשר וואלי מייפל 5יח","ג'נרל מילס","US","חטיף נייטשר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 06:55","16000548909","1","נייטשר וואלי גרנולה 5יח'","ג'נרל מילס","US","חטיף נייטשר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 08:08","22200956932","1","ספיד סטיק ג'ל 24/7 כחול","קולגייט-פלמוליב","US","דאודורנט ג'ל","גרמים","85.00","0","100 גרם","0","18.90","22.24","1","1"
"2017-02-07 06:55","28200106902","1","מרלבורו גולד קצר בוקס10י","פיליפ מוריס","US","מרלבורו גולד ק","יחידה","1.00","0","יחידה","0","329.90","329.90","0","1"
"2017-02-07 06:55","3023470001015","1","ביסקויט גאלט חמאה 150ג","סן מישל","FR","ביסקויט חמאה","גרמים","150.00","0","100 גרם","0","10.90","7.27","1","1"
"2017-02-07 06:55","3023470020016","1","עוגיות חמאה 150 גרם","סן מישל","FR","עוגיות חמאה","גרמים","150.00","0","100 גרם","1","13.90","9.27","1","1"
"2017-02-07 06:55","3046920017503","1","שוקולד אקסלנס ססמי 100גר","לינדט ושפרונגלי קילשברג","FR","שוקולד אקסלנס","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 06:55","3046920027458","1","שוקולד אקסלנס סטרוברי100","לינדט ושפרונגלי קילשברג","FR","שוקולד אקסלנס","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 06:55","3046920028004","1","שוק.אקסלנס מריר70% 100גר","לינדט ושפרונגלי קילשברג","FR","שוקולד אקסלנס","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 06:55","3046920028363","1","שוק.לינדט אקסלנס85% 100ג","לינדט ושפרונגלי קילשברג","FR","שוקולד לינדט 85%","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 06:55","3046920028370","1","שוק.לינדט אקסלנס תפוז100","לינדט ושפרונגלי קילשברג","CH","שוקולד לינדט","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 06:55","3046920029674","1","שוק.לינדט אקסלנס מלח100ג","לינדט ושפרונגלי קילשברג","FR","שוקולד לינדט","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 06:55","3046920029759","1","שוק.אקסלנס 90% קקאו 100ג","לינדט ושפרונגלי קילשברג","DE","שוקולד אקסלנס","גרמים","100.00","0","100 גרם","1","18.20","18.20","1","1"
"2017-02-07 08:08","3059940007768","1","אירויק ספריי וניל 240 מל","רקיט בנקיזר","GB","אירויק ספריי","מיליליטרים","240.00","0","100 מ""ל","0","11.90","4.96","1","1"
"2017-02-07 08:08","3059943016507","1","אירויק ספריי לבנדר 240מל","רקיט בנקיזר","GB","אירויק ספריי","מיליליטרים","240.00","0","100 מ""ל","0","11.90","4.96","1","1"
"2017-02-07 06:55","3147697720204","1","וויסקי לייבל 5 700 מ""ל","BLENDING FIRST","GB","וויסקי לייבל 5","מיליליטרים","700.00","0","100 מ""ל","1","74.90","10.70","1","1"
"2017-02-07 06:55","3173282715027","1","שוק.חלב ממולא קרם חלב200","דיפה סאס","FR","שוקולד חלב","גרמים","200.00","0","100 גרם","1","9.90","4.95","1","1"
"2017-02-07 07:48","3175460030083","1","גבינת בורסאן","","FR","גבינת בורסאן","גרמים","150.00","0","100 גרם","0","15.90","10.60","1","1"
"2017-02-07 06:55","3178530402353","1","עוגיות מיני מדלן רכות175","סן מישל","FR","עוגיות מיני מדלן","גרמים","175.00","0","100 גרם","1","10.90","6.23","1","1"
"2017-02-07 06:55","3178530404241","1","עוג.שוקולד+גרעינ+שומ140ג","סן מישל","FR","עוגיות שוקולד","גרמים","140.00","0","100 גרם","1","13.90","9.93","1","1"
"2017-02-07 06:55","3178530405828","1","ביסקוויט פתיבר חמאה150ג","סן מישל","FR","פתיבר חמאה","גרמים","150.00","0","100 גרם","1","13.90","9.27","1","1"
"2017-02-07 06:55","32147230","1","מיץ לימון משומר 200 מ""ל","סידג","CH","מיץ לימון משומר","מיליליטרים","200.00","0","100 מ""ל","0","7.90","3.95","1","1"
"2017-02-07 06:55","3284230004367","1","בריוש+נטיפי שוקולד 360גר","לה בולנג'ר","FR","בריוש עם שוקולד","גרמים","350.00","0","100 גרם","1","13.90","3.97","1","1"
"2017-02-07 06:55","3284230010955","1","לחמניות מיני בריוש 210גר","לה בולנג'ר","FR","לחמניות בריוש","גרמים","210.00","0","100 גרם","1","13.90","6.62","1","1"
"2017-02-07 06:55","3284230012126","1","לחמניות בריוש אצבע350.גר","לה בולנג'ר","FR","לחמניות בריוש","גרמים","350.00","0","100 גרם","1","13.90","3.97","1","1"
"2017-02-07 06:55","3284230012133","1","לחמניות בריוש חלביות350ג","לה בולנג'ר","FR","לחמניות בריוש","גרמים","350.00","0","100 גרם","1","13.90","3.97","1","1"
"2017-02-07 06:55","33617000026","1","פת פריכה מקמח מל","","IL","פת פריכה מקמח מל","גרמים","260.00","0","100 גרם","0","14.40","5.54","1","1"
"2017-02-07 06:55","33617322616","1","פת פריכה קלה","","IL","פת פריכה קלה","גרמים","270.00","0","100 גרם","0","14.40","5.33","1","1"
"2017-02-07 06:55","33617340610","1","פת פריכה שיפון","","IL","פת פריכה שיפון","גרמים","250.00","0","100 גרם","0","14.40","5.76","1","1"
"2017-02-07 06:55","3387390320244","1","דגני בוקר פיטנס+פירות375","נסטלה","FR","דגני פיטנס","גרמים","375.00","0","100 גרם","0","16.90","4.51","1","1"
"2017-02-07 06:55","3387390525960","1","קראנץ' דגני בוקר 500 גרם","נסטלה","FR","קראנץ דגני בוקר","גרמים","500.00","0","100 גרם","0","25.00","5.00","1","1"
"2017-02-07 06:55","3387390730852","1","דגני בוקר פיטנס 375 גרם","נסטלה","FR","דגני פיטנס","גרמים","375.00","0","100 גרם","0","16.90","4.51","1","1"
"2017-02-07 06:55","34000124138","1","ממרח בוטנים וקקאו 368גרם","הרשי שוקולד","US","ממרח בוטנים/קקאו","גרמים","368.00","0","100 גרם","1","21.70","5.90","1","1"
"2017-02-07 06:55","34000146208","1","נטיפי שוקולד לאפייה283גר","הרשי שוקולד","US","נטיפי שוקולד","גרמים","283.00","0","100 גרם","1","19.70","6.96","1","1"
"2017-02-07 07:48","3451790550324","1","ממרח חמאה 75% 250ג","אלוויר","BE","ממרח חמאה רכה","גרמים","250.00","0","100 גרם","0","12.90","5.16","1","1"
"2017-02-07 07:48","3523230026888","1","גב.עיזים+שום ע.תיבול140ג","אוריאל","FR","גבינת עיזים","גרמים","140.00","0","100 גרם","1","17.90","12.79","1","1"
"2017-02-07 06:55","3563490014898","1","חרדל ריין דיז'ון לחיץ265","ריין דיג'ון","FR","חרדל דיז'ון","גרמים","265.00","0","100 גרם","0","13.10","4.94","1","1"
"2017-02-07 08:08","3600521720219","1","קרם לילה פעולה משולשת50מ","קלסרואה","DE","קרם לילה","מיליליטרים","50.00","0","100 מ""ל","0","50.00","100.00","1","1"
"2017-02-07 08:08","3600522490500","1","טריפל אקטיב אנטי רדנס50מ","קרלסרו","DE","קרם לחות","מיליליטרים","50.00","0","100 מ""ל","1","50.00","100.00","1","1"
