white cheese,1,12.68,5.056,Shupersal-Shelly_Nativ-Hen
white cheese,2,39.3333333333,39.3333333333,Shupersal-Shelly_Nativ-Hen
toilet paper,0,27.925,4.2825,Shupersal-Shelly_Nativ-Hen
toilet paper,1,39.0666666667,7.28666666667,Shupersal-Shelly_Nativ-Hen
toilet paper,2,16.9,16.9,Shupersal-Shelly_Nativ-Hen
bleach,0,9.45,2.26166666667,Shupersal-Shelly_Nativ-Hen
bleach,1,13.12,2.642,Shupersal-Shelly_Nativ-Hen
bleach,2,10.2,20.4,Shupersal-Shelly_Nativ-Hen
pasta,0,6.79333333333,1.38033333333,Shupersal-Shelly_Nativ-Hen
pasta,1,12.875,4.59083333333,Shupersal-Shelly_Nativ-Hen
pasta,2,19.58,4.896,Shupersal-Shelly_Nativ-Hen
fabric softener,0,11.6333333333,1.40333333333,Shupersal-Shelly_Nativ-Hen
fabric softener,1,20.1923076923,4.60538461538,Shupersal-Shelly_Nativ-Hen
fabric softener,2,15.725,15.725,Shupersal-Shelly_Nativ-Hen
bread,0,13.5097560976,2.49414634146,Shupersal-Shelly_Nativ-Hen
bread,1,4.67941176471,2.89294117647,Shupersal-Shelly_Nativ-Hen
bread,2,13.85,13.1125,Shupersal-Shelly_Nativ-Hen
tomato,0,6.9,6.9,Shupersal-Shelly_Nativ-Hen
tomato,1,10.9,10.9,Shupersal-Shelly_Nativ-Hen
tomato,2,10.9,10.9,Shupersal-Shelly_Nativ-Hen
onion,0,5.9,5.9,Shupersal-Shelly_Nativ-Hen
onion,1,6.9,6.9,Shupersal-Shelly_Nativ-Hen
onion,2,15.0,15.0,Shupersal-Shelly_Nativ-Hen
potato,0,4.9,4.9,Shupersal-Shelly_Nativ-Hen
potato,1,6.5,6.5,Shupersal-Shelly_Nativ-Hen
potato,2,6.9,6.9,Shupersal-Shelly_Nativ-Hen
garbage bag,0,11.6666666667,11.6666666667,Shupersal-Shelly_Nativ-Hen
garbage bag,1,22.34,22.34,Shupersal-Shelly_Nativ-Hen
garbage bag,2,28.5,28.5,Shupersal-Shelly_Nativ-Hen
frozen ,0,15.9,1.985,Shupersal-Shelly_Nativ-Hen
frozen ,1,20.275,2.74375,Shupersal-Shelly_Nativ-Hen
frozen ,2,26.1833333333,3.455,Shupersal-Shelly_Nativ-Hen
bag,0,11.5,11.5,Shupersal-Shelly_Nativ-Hen
